lat,lon,period
3.7875,96.62354,50
5.029167,96.79347,50
4.745833,96.75255,254
3.920833,96.64703,50
3.9125,96.64607,50
3.904167,96.64511,50
3.895833,96.64416,50
3.8875,96.6432,60
3.879167,96.64224,66
3.870833,96.6413,51
3.7875,96.63189,53
3.779167,96.63096,54
5.0375,96.80308,50
5.029167,96.80183,50
3.954167,96.65926,53
3.920833,96.65539,51
3.9125,96.65443,53
3.895833,96.65251,51
3.8875,96.65155,61
3.879167,96.6506,58
3.870833,96.64964,51
3.7875,96.64024,53
3.779167,96.63931,54
3.770833,96.63838,58
3.9625,96.66859,50
3.8875,96.6599,50
3.879167,96.65895,55
3.7875,96.64859,53
3.779167,96.64766,52
3.804167,96.65881,51
3.795833,96.65788,52
3.7875,96.65694,52
3.779167,96.65601,51
5.045833,96.82941,53
3.804167,96.66716,56
3.795833,96.66622,54
3.7875,96.66529,51
3.779167,96.66436,50
5.0375,96.83654,254
3.804167,96.67551,54
3.795833,96.67458,52
3.7875,96.67365,50
3.779167,96.67271,55
3.795833,96.68293,50
3.7875,96.682,50
3.779167,96.68107,50
3.779167,96.68941,51
3.8375,96.70432,50
3.8125,96.7015,254
3.804167,96.70057,254
3.795833,96.69963,52
3.7875,96.6987,53
3.779167,96.69777,60
3.845833,96.71362,51
3.8375,96.71268,54
3.829167,96.71173,52
3.820833,96.71079,54
3.8125,96.70985,50
3.804167,96.70892,53
3.795833,96.70798,57
3.7875,96.70705,63
3.779167,96.70612,59
3.829167,96.72009,60
3.820833,96.71915,50
3.8125,96.71821,50
3.804167,96.71727,50
3.795833,96.71633,61
3.7875,96.7154,56
3.779167,96.71447,54
3.820833,96.72749,55
3.804167,96.72562,50
3.795833,96.72469,51
3.7875,96.72375,51
3.779167,96.72282,52
3.804167,96.73397,51
3.795833,96.73304,50
3.7875,96.73211,54
5.004167,96.91524,61
4.995833,96.91401,53
5.0125,96.92484,51
5.004167,96.92361,254
4.995833,96.92237,254
4.9875,96.92114,60
5.0125,96.9332,53
5.004167,96.93197,64
4.995833,96.93074,254
4.9875,96.9295,254
4.979167,96.92828,52
4.995833,96.9391,51
4.979167,96.93664,53
4.9375,97.0309,51
4.929167,97.02968,51
4.979167,97.04539,50
4.9375,97.03926,55
4.9375,97.04763,55
4.095833,96.94343,254
4.929167,97.06313,52
4.095833,96.95178,254
4.104167,96.96115,254
4.970833,97.10271,51
4.9625,97.10985,53
5.120833,97.25066,254
4.679167,97.19477,254
4.679167,97.20313,254
5.104167,97.27322,254
4.679167,97.21149,254
4.370833,97.1701,254
4.3625,97.16902,254
5.054167,97.30751,254
4.4375,97.23732,50
4.145833,97.22524,254
4.8625,97.33782,254
4.829167,97.48355,50
4.820833,97.48235,51
4.829167,97.49191,58
4.820833,97.49072,63
4.8125,97.48952,56
4.829167,97.50028,53
4.820833,97.49908,56
4.970833,97.58787,254
4.404167,97.50876,254
4.895833,97.58521,254
4.879167,97.59114,254
4.8625,97.58872,254
4.879167,97.5995,254
4.870833,97.5983,254
4.8625,97.59708,254
4.845833,97.59467,254
4.870833,97.60666,254
4.8125,97.60661,51
4.845833,97.61977,254
4.8125,97.61497,51
5.020833,97.65387,254
4.820833,97.62453,51
4.8125,97.62333,52
4.545833,97.58615,51
4.5375,97.58502,51
1.370833,97.30701,254
4.6375,97.60705,52
4.629167,97.6059,51
4.554167,97.59563,50
