lat,lon,prob201010,prob201011,prob201012,prob201101,prob201102,prob201103,prob201104,prob201105,prob201106,prob201107,prob201108
1.1375,100.9991,0,0,0,0,0,1,0,0,0,0,0
.0208333,100.9875,0,0,0,0,0,0,0,0,0,1,0
.0125,100.9875,0,0,0,1,0,0,0,0,0,0,0
1.329167,101.023,0,0,0,0,0,0,1,0,0,0,0
1.5125,101.0394,0,0,0,0,0,0,0,0,1,0,0
1.1875,101.0259,0,0,0,0,0,0,0,0,0,1,0
1.520833,101.0481,0,0,0,0,0,0,0,0,0,1,0
1.504167,101.0473,0,1,0,0,0,0,0,0,0,0,0
1.179167,101.0422,0,0,0,0,0,1,0,0,0,0,0
1.129167,101.0405,0,0,0,0,0,1,0,0,0,0,0
1.245833,101.0531,0,0,0,0,0,0,0,0,1,0,0
1.129167,101.0571,0,0,1,0,0,0,0,0,0,0,0
1.120833,101.0568,0,0,1,0,0,0,0,0,0,0,0
1.129167,101.0655,0,0,0,0,0,0,0,0,1,0,0
1.0125,101.0699,0,0,0,0,0,0,0,0,1,0,0
1.470833,101.1125,0,0,1,0,0,0,0,0,0,0,0
1.5375,101.1239,0,0,0,0,0,0,0,0,1,0,0
1.6375,101.1455,0,0,0,0,1,0,0,0,0,0,0
1.6625,101.1551,0,0,0,0,0,1,0,0,0,0,0
1.6375,101.2205,0,0,0,0,1,0,0,0,0,0,0
1.6375,101.2288,0,0,0,0,0,1,0,0,0,0,0
1.645833,101.2626,0,0,0,0,0,0,0,0,1,0,0
1.6375,101.2622,0,0,0,0,0,1,0,0,0,0,0
1.629167,101.2618,0,0,0,0,0,1,0,0,0,0,0
1.620833,101.2613,0,1,0,0,0,0,0,0,0,0,0
1.645833,101.2876,0,0,0,0,0,0,0,1,0,0,0
1.6375,101.2872,0,0,0,0,1,0,0,0,0,0,0
1.6625,101.2968,0,0,0,0,0,0,0,1,0,0,0
1.645833,101.296,0,1,0,0,0,0,0,0,0,0,0
.1208333,101.3127,0,0,0,0,0,0,0,0,0,0,1
.0625,101.3792,0,0,0,0,0,0,0,0,0,0,1
1.395833,101.4176,0,1,0,0,0,0,0,0,0,0,0
.1625,101.3879,0,1,0,0,0,0,0,0,0,0,0
1.3625,101.4328,0,0,0,0,0,0,1,0,0,0,0
.1791667,101.413,0,1,0,0,0,0,0,0,0,0,0
1.370833,101.5082,0,0,0,0,0,1,0,0,0,0,0
1.320833,101.5061,0,0,0,0,0,0,0,1,0,0,0
.8625,101.499,0,0,0,0,0,1,0,0,0,0,0
.1958333,101.4881,0,0,0,0,0,0,0,0,1,0,0
1.2125,101.5186,0,0,0,0,0,0,0,1,0,0,0
.8625,101.5073,0,0,0,0,0,1,0,0,0,0,0
1.2375,101.5278,0,1,0,0,0,0,0,0,0,0,0
.8791667,101.5161,0,0,0,0,0,0,1,0,0,0,0
1.3375,101.5402,0,0,0,0,0,1,0,0,0,0,0
1.329167,101.5398,0,0,0,0,0,0,0,0,0,0,1
1.0125,101.5367,0,0,0,0,0,1,0,0,0,0,0
1.154167,101.5498,0,0,0,0,0,0,1,0,0,0,0
1.320833,101.5728,0,0,1,0,0,0,0,0,0,0,0
1.3125,101.5725,0,0,0,0,0,0,0,0,1,0,0
1.304167,101.5721,0,0,0,0,0,1,0,0,0,0,0
1.3125,101.5808,0,0,1,0,0,0,0,0,0,0,0
1.304167,101.5805,0,0,0,0,0,0,0,1,0,0,0
1.295833,101.5801,0,0,0,0,0,0,0,0,0,1,0
1.3125,101.5892,0,0,0,0,0,0,0,0,1,0,0
.8125,101.581,0,0,0,1,0,0,0,0,0,0,0
.8125,101.5894,0,1,0,0,0,0,0,0,0,0,0
.8125,101.5977,0,1,0,0,0,0,0,0,0,0,0
1.3375,101.6319,0,0,0,0,0,0,0,0,1,0,0
1.345833,101.6405,0,0,0,0,0,0,0,1,0,0,0
1.120833,101.6319,0,0,0,0,0,0,1,0,0,0,0
.0458333,101.6125,0,0,1,0,0,0,0,0,0,0,0
1.129167,101.6489,0,0,0,0,0,0,0,0,0,0,1
.0125,101.6292,0,0,0,0,0,0,0,1,0,0,0
1.104167,101.6564,0,1,0,0,0,0,0,0,0,0,0
1.070833,101.6553,0,1,0,0,0,0,0,0,0,0,0
.0125,101.6458,0,0,0,0,0,0,0,0,1,0,0
.7041667,101.6702,0,0,0,1,0,0,0,0,0,0,0
.6958333,101.67,0,0,0,0,0,0,0,1,0,0,0
.8791667,101.7411,0,0,0,0,0,1,0,0,0,0,0
.8958333,101.7499,0,0,0,0,1,0,0,0,0,0,0
.0041667,101.7375,0,0,0,0,1,0,0,0,0,0,0
1.020833,101.762,0,0,0,1,0,0,0,0,0,0,0
.0208333,101.7708,0,0,0,0,0,1,0,0,0,0,0
.0208333,101.7792,0,0,0,0,0,0,1,0,0,0,0
.2708333,101.797,0,0,0,0,1,0,0,0,0,0,0
.9458333,101.818,0,0,0,0,0,0,0,1,0,0,0
1.554167,101.85,0,0,1,0,0,0,0,0,0,0,0
.9208333,101.8423,0,0,1,0,0,0,0,0,0,0,0
.9125,101.8421,0,0,1,0,0,0,0,0,0,0,0
.8625,101.8407,0,0,0,0,0,0,0,0,1,0,0
.9291667,101.8509,0,1,0,0,0,0,0,0,0,0,0
.9458333,101.8597,0,0,0,0,0,0,0,0,0,0,1
.9375,101.8595,0,0,0,0,0,0,0,0,0,0,1
.9291667,101.8592,0,1,0,0,0,0,0,0,0,0,0
.9458333,101.868,0,0,0,0,0,1,0,0,0,0,0
.9375,101.8678,0,0,1,0,0,0,0,0,0,0,0
.8791667,101.8662,0,0,0,0,0,0,0,0,1,0,0
.8708333,101.8659,0,0,0,0,0,0,0,1,0,0,0
.9458333,101.8764,0,0,0,0,0,1,0,0,0,0,0
.8708333,101.8743,0,0,0,0,0,0,0,0,1,0,0
.8541667,101.8738,0,0,0,0,1,0,0,0,0,0,0
