lat,lon,prob201107,prob201108
.4625,100.5824,103,103
.4541667,100.5823,103,103
.4375,100.5821,101,101
.4291667,100.582,101,101
.4208333,100.5819,101,101
.4125,100.5818,101,101
.4041667,100.5817,101,101
.3958333,100.5816,101,101
.3875,100.5815,101,101
.3791667,100.5814,103,103
.3708333,100.5813,103,103
.3625,100.5812,101,101
.3541667,100.5811,101,101
.3458333,100.581,101,101
.3375,100.5809,101,101
.3291667,100.5808,101,101
.2958333,100.5805,101,101
.2791667,100.5804,101,101
.2708333,100.5803,101,101
.2625,100.5802,101,101
.2458333,100.5801,101,101
.2291667,100.58,101,101
.2208333,100.5799,101,101
.2125,100.5799,101,101
.2041667,100.5798,101,101
.1541667,100.5795,101,101
.1458333,100.5795,101,101
.1291667,100.5794,101,101
.1208333,100.5794,101,101
.1125,100.5794,101,101
.1041667,100.5793,101,101
.0958333,100.5793,101,101
.0875,100.5793,101,101
.0791667,100.5793,101,101
.0708333,100.5792,101,101
.0625,100.5792,101,101
.0541667,100.5792,101,101
.0458333,100.5792,101,101
.0375,100.5792,101,101
.0291667,100.5792,101,101
.0208333,100.5792,101,101
.0125,100.5792,101,101
.0041667,100.5792,101,101
1.679167,100.6307,101,101
1.670833,100.6303,101,101
1.6625,100.6299,101,101
1.654167,100.6294,101,101
1.645833,100.629,101,101
1.6375,100.6286,101,101
1.629167,100.6282,101,101
1.620833,100.6278,101,101
1.420833,100.6184,71,71
1.4125,100.6181,54,54
1.404167,100.6177,101,101
1.395833,100.6174,103,103
1.3875,100.617,65,65
1.370833,100.6163,99,99
1.3625,100.6159,99,99
1.354167,100.6156,99,99
1.345833,100.6153,99,99
1.3375,100.6149,97,97
1.329167,100.6146,103,103
1.320833,100.6142,103,103
1.3125,100.6139,103,103
1.304167,100.6136,103,103
1.295833,100.6132,103,103
1.2875,100.6129,103,103
1.279167,100.6126,103,103
1.270833,100.6123,103,103
1.2625,100.6119,103,103
1.254167,100.6116,103,103
1.245833,100.6113,103,103
1.129167,100.607,101,101
1.120833,100.6068,101,101
1.0625,100.6048,101,101
1.045833,100.6043,93,93
1.0375,100.604,103,103
1.029167,100.6037,103,103
1.020833,100.6035,103,103
1.0125,100.6032,103,103
1.004167,100.603,103,103
.9041666,100.6,101,101
.8958333,100.5998,101,101
.8875,100.5996,101,101
.8791667,100.5993,101,101
.8708333,100.5991,101,101
.8625,100.5989,64,64
.8375,100.5982,55,55
.8208333,100.5978,80,80
.8125,100.5976,103,103
.7708333,100.5966,101,101
.7625,100.5964,101,101
.7541667,100.5962,101,101
.7458333,100.596,60,60
.7375,100.5958,55,55
.7291667,100.5956,56,56
.7208334,100.5955,64,64
.7125,100.5953,59,59
.7041667,100.5951,51,51
.6958333,100.5949,101,101
.6875,100.5947,103,103
.6791667,100.5946,61,61
.6708333,100.5944,56,56
.5958334,100.5929,101,51
.5875,100.5928,101,101
.5375,100.5919,103,103
.5291666,100.5918,101,101
.5208333,100.5917,101,101
.5125,100.5915,101,101
.5041667,100.5914,101,101
.4958333,100.5913,59,59
.4875,100.5911,103,103
.4791667,100.591,103,103
.4708333,100.5909,103,103
.4625,100.5908,103,103
.4291667,100.5903,101,101
.4208333,100.5902,101,101
.4125,100.5901,101,101
.4041667,100.59,101,101
.3958333,100.5899,101,101
.3875,100.5898,101,101
.3625,100.5895,101,101
.3541667,100.5894,101,101
.3458333,100.5893,101,101
.3125,100.589,103,103
.2958333,100.5888,101,101
.2875,100.5888,101,101
.2791667,100.5887,101,101
.2708333,100.5886,101,101
.2625,100.5886,101,101
.2541667,100.5885,101,101
.2458333,100.5884,101,101
.2375,100.5884,101,101
.2208333,100.5882,101,101
.2125,100.5882,101,101
.2041667,100.5881,101,101
.1958333,100.5881,101,101
.1458333,100.5878,101,101
.1291667,100.5878,101,101
.1208333,100.5877,101,101
.1125,100.5877,101,101
.1041667,100.5877,101,101
.0958333,100.5876,101,101
.0875,100.5876,101,101
.0791667,100.5876,101,101
.0708333,100.5876,101,101
.0625,100.5876,101,101
.0541667,100.5875,101,101
.0458333,100.5875,101,101
.0375,100.5875,101,101
.0291667,100.5875,101,101
.0208333,100.5875,101,101
.0125,100.5875,101,101
.0041667,100.5875,101,101
1.679167,100.6391,101,101
1.6625,100.6382,101,101
1.654167,100.6378,101,101
1.645833,100.6374,101,101
1.6375,100.6369,101,101
1.629167,100.6365,101,101
1.620833,100.6361,101,101
1.6125,100.6357,101,101
1.604167,100.6353,101,101
1.420833,100.6268,76,77
1.4125,100.6264,69,69
1.404167,100.6261,101,101
1.395833,100.6257,101,101
1.3875,100.6253,101,101
1.379167,100.625,65,65
1.370833,100.6246,99,99
1.3625,100.6243,99,99
1.354167,100.6239,99,99
1.345833,100.6236,99,99
1.3375,100.6232,98,98
1.329167,100.6229,103,103
1.320833,100.6226,103,103
1.3125,100.6222,103,103
1.304167,100.6219,103,103
1.295833,100.6216,103,103
1.2875,100.6212,103,103
1.279167,100.6209,103,103
1.270833,100.6206,103,103
1.2625,100.6203,103,103
1.254167,100.6199,103,103
1.245833,100.6196,103,103
1.129167,100.6154,101,101
1.120833,100.6151,101,101
1.0625,100.6131,101,101
1.045833,100.6126,95,95
1.0375,100.6123,103,103
1.029167,100.6121,103,103
1.020833,100.6118,103,103
.9208333,100.6088,101,101
.9125,100.6086,101,101
.9041666,100.6084,101,101
.8958333,100.6081,101,101
.8875,100.6079,101,101
.8791667,100.6077,101,101
.8708333,100.6075,101,101
.8625,100.6072,101,101
.8375,100.6066,101,101
.8291667,100.6064,103,103
.8208333,100.6062,77,77
.7958333,100.6055,101,101
.7708333,100.6049,64,64
.7625,100.6047,101,101
.7541667,100.6045,101,101
.7458333,100.6044,52,52
.7375,100.6042,52,52
.7291667,100.604,101,101
.7208334,100.6038,58,58
.7125,100.6036,69,69
.7041667,100.6034,56,56
.6958333,100.6032,56,56
.6875,100.6031,101,101
.6791667,100.6029,101,101
.6708333,100.6027,101,101
.6625,100.6026,65,65
.6541666,100.6024,79,79
.5958334,100.6013,53,55
.5875,100.6011,101,101
.5291666,100.6001,103,103
.5125,100.5999,101,101
.5041667,100.5997,101,101
.4958333,100.5996,101,101
.4875,100.5995,103,103
.4791667,100.5993,103,103
.4708333,100.5992,103,103
.4291667,100.5987,101,101
.4208333,100.5985,101,101
.4125,100.5984,101,101
.3125,100.5973,103,103
.3041667,100.5973,101,101
.2625,100.5969,101,101
.2541667,100.5968,101,101
.2458333,100.5968,101,101
.2375,100.5967,101,101
.2291667,100.5966,101,101
.2208333,100.5966,101,101
.2125,100.5965,101,101
.2041667,100.5965,101,101
.1958333,100.5964,101,101
.1625,100.5962,101,101
.1291667,100.5961,101,101
.1041667,100.596,101,101
.0958333,100.596,101,101
.0875,100.5959,101,101
.0791667,100.5959,101,101
.0708333,100.5959,101,101
.0625,100.5959,101,101
.0541667,100.5959,101,101
.0458333,100.5959,101,101
.0375,100.5959,101,101
.0291667,100.5958,101,101
.0208333,100.5958,101,101
.0125,100.5958,101,101
.0041667,100.5958,101,101
1.670833,100.647,101,101
1.6625,100.6465,101,101
1.654167,100.6461,101,101
1.645833,100.6457,101,101
1.6375,100.6453,101,101
1.629167,100.6449,101,101
1.620833,100.6444,101,101
1.6125,100.644,101,101
1.604167,100.6436,101,101
1.4125,100.6347,72,72
1.404167,100.6344,101,101
1.395833,100.634,101,101
1.3875,100.6337,56,60
1.379167,100.6333,75,76
1.370833,100.633,97,97
1.3625,100.6326,99,99
1.354167,100.6323,99,99
1.345833,100.6319,93,93
1.3375,100.6316,91,91
1.329167,100.6312,103,103
1.320833,100.6309,103,103
