lat,lon,period
24.1625,98.88426,254
24.35417,99.05173,254
24.34583,99.04521,254
24.67083,99.32002,254
24.35417,99.07918,254
24.3625,99.104,254
24.32917,99.08706,254
24.2375,99.01556,254
24.3625,99.12229,254
24.3375,99.11187,254
24.32083,99.09883,254
24.30417,99.09496,254
24.2875,99.10023,254
24.27917,99.09373,254
24.29583,99.12502,254
24.3125,99.15633,254
23.72917,98.88039,254
24.37917,99.53792,254
24.37917,99.54707,254
24.37083,99.5405,254
24.3375,99.54173,254
24.27083,99.50773,254
23.47083,99.02195,254
23.4625,99.0157,254
23.5375,99.08116,254
23.52917,99.07488,254
23.47083,99.03104,254
23.4625,99.02479,254
23.45417,99.01853,254
23.5125,99.08052,254
23.5125,99.08961,254
23.49583,99.08616,254
23.4875,99.09807,254
23.47917,99.0918,254
23.47083,99.08555,254
23.49583,99.11342,254
23.4875,99.10715,254
23.47917,99.10089,254
23.47083,99.09464,254
23.4625,99.09746,254
23.47917,99.11906,254
23.5875,99.20981,254
23.52917,99.16578,254
23.4375,99.09687,254
24.72083,100.103,77
24.7125,100.0963,61
23.52083,99.16859,254
23.42917,99.09971,254
23.34583,99.03739,254
23.1875,98.91978,254
24.70417,100.0988,94
23.3375,99.08563,254
24.00417,99.61969,254
23.32083,99.10043,254
23.27083,99.06319,254
23.97917,99.62771,254
23.9875,99.64327,254
23.94583,99.61107,254
23.2625,99.09328,254
23.8125,99.52672,254
24.07917,99.79654,254
24.12083,99.8564,254
23.9875,99.76185,254
24.0875,99.84866,254
23.4625,99.38816,254
24.4875,100.2003,254
24.05417,99.85922,254
24.0875,99.8943,254
23.97083,99.80366,254
23.47917,99.45523,254
23.12917,99.23918,254
23.1125,99.41713,254
23.3875,99.67683,254
23.37917,99.67056,254
23.40417,99.69845,254
23.37917,99.67963,254
23.37917,99.68871,254
24.37917,100.4711,254
23.15417,99.52959,254
24.4875,100.5758,254
22.6375,99.38602,254
22.62083,99.41007,254
23.14583,99.83154,254
23.1375,99.8344,254
22.42083,99.31137,254
22.40417,99.34453,254
22.39583,99.33857,254
23.8125,100.4012,254
22.40417,99.35354,254
22.4625,99.40433,254
22.40417,99.36255,254
22.7625,99.63039,254
22.6125,99.52141,254
22.60417,99.51538,254
22.45417,99.40736,254
22.45417,99.41638,254
23.7375,100.3888,254
23.05417,99.87212,254
22.27083,99.30361,254
22.1375,99.20933,254
23.7375,100.3979,254
23.72917,100.3915,50
23.7375,100.407,58
23.7125,100.3877,254
22.2625,99.3157,254
22.17083,99.25082,254
22.14583,99.23319,254
23.72083,100.4033,254
23.7125,100.3969,254
22.67083,99.64496,254
24.5625,101.1398,254
23.62917,100.4329,57
